"","cause","effect","causemeantp0","effectmeantp0","causesdtp0","effectsdtp0","causehabtp0","effecthabtp0"
"18","G_pfefferi","L_elongatus","7.5","12.325","4.58537250674806","10.4375738904186","Shrimp_feeder","Fish_feeder"
"19","G_pfefferi","N_sexfasciatus","7.5","3.825","4.58537250674806","4.01208111480748","Shrimp_feeder","Zoobenthos_feeder"
"20","G_pfefferi","O_ventralis","7.5","77.95","4.58537250674806","37.3925469058015","Shrimp_feeder","Detritus_feeder"
"21","G_pfefferi","P_microlepis","7.5","30.975","4.58537250674806","18.5810594216468","Shrimp_feeder","Scale_feeder"
"22","H_microlepis","H_microlepis","4.75","4.75","8.86002257333467","8.86002257333467","Fry_feeder","Fry_feeder"
"23","H_microlepis","Paracyprichromisspp","4.75","54.325","8.86002257333467","88.0132238024637","Fry_feeder","Zooplankton_feeder"
"24","I_loocki","A_dewindti","19.7","32.8","15.8214395273612","32.8","Unicellular_algae_feeder","Detritus_feeder"
"25","I_loocki","I_loocki","19.7","19.7","15.8214395273612","15.8214395273612","Unicellular_algae_feeder","Unicellular_algae_feeder"
"26","I_loocki","N_fasciatus","19.7","64.1","15.8214395273612","16.6576385804508","Unicellular_algae_feeder","Shrimp_feeder"
"27","I_loocki","O_ventralis","19.7","77.95","15.8214395273612","37.3925469058015","Unicellular_algae_feeder","Detritus_feeder"
"28","I_loocki","T_moorii","19.7","72.425","15.8214395273612","25.720277842739","Unicellular_algae_feeder","Filamentous_algae_feeder"
"29","J_ornatus","A_dewindti","23.275","32.8","16.4970665613073","32.8","Sponge_feeder","Detritus_feeder"
"30","J_ornatus","J_ornatus","23.275","23.275","16.4970665613073","16.4970665613073","Sponge_feeder","Sponge_feeder"
"31","J_ornatus","L_callipterus","23.275","11.55","16.4970665613073","10.652915816086","Sponge_feeder","Shrimp_feeder"
"32","J_ornatus","N_fasciatus","23.275","64.1","16.4970665613073","16.6576385804508","Sponge_feeder","Shrimp_feeder"
"33","J_ornatus","N_sexfasciatus","23.275","3.825","16.4970665613073","4.01208111480748","Sponge_feeder","Zoobenthos_feeder"
"34","J_ornatus","O_ventralis","23.275","77.95","16.4970665613073","37.3925469058015","Sponge_feeder","Detritus_feeder"
"35","J_ornatus","P_microlepis","23.275","30.975","16.4970665613073","18.5810594216468","Sponge_feeder","Scale_feeder"
"36","J_ornatus","T_moorii","23.275","72.425","16.4970665613073","25.720277842739","Sponge_feeder","Filamentous_algae_feeder"
"37","J_ornatus","T_vittatus","23.275","159.55","16.4970665613073","47.1908020155601","Sponge_feeder","Filamentous_algae_feeder"
"38","L_attenuatus","L_attenuatus","3.775","3.775","6.14144182519933","6.14144182519933","Fry_feeder","Fry_feeder"
"39","L_attenuatus","L_callipterus","3.775","11.55","6.14144182519933","10.652915816086","Fry_feeder","Shrimp_feeder"
"40","L_attenuatus","L_labiatus","3.775","9.95","6.14144182519933","3.29685164501389","Fry_feeder","Zoobenthos_feeder"
"41","L_attenuatus","L_tanganicanus","3.775","36.625","6.14144182519933","35.7962091532552","Fry_feeder","Unicellular_algae_feeder"
"42","L_attenuatus","X_papilio","3.775","5.575","6.14144182519933","3.29636551993641","Fry_feeder","Filamentous_algae_feeder"
"43","L_callipterus","A_compressiceps","11.55","3.375","10.652915816086","3.375","Shrimp_feeder","Shrimp_feeder"
"44","L_callipterus","I_loocki","11.55","19.7","10.652915816086","15.8214395273612","Shrimp_feeder","Unicellular_algae_feeder"
"45","L_callipterus","L_callipterus","11.55","11.55","10.652915816086","10.652915816086","Shrimp_feeder","Shrimp_feeder"
"46","L_callipterus","L_dardennii","11.55","9.75","10.652915816086","6.99358680579975","Shrimp_feeder","Unicellular_algae_feeder"
"47","L_callipterus","L_tanganicanus","11.55","36.625","10.652915816086","35.7962091532552","Shrimp_feeder","Unicellular_algae_feeder"
"48","L_callipterus","N_fasciatus","11.55","64.1","10.652915816086","16.6576385804508","Shrimp_feeder","Shrimp_feeder"
"49","L_callipterus","O_ventralis","11.55","77.95","10.652915816086","37.3925469058015","Shrimp_feeder","Detritus_feeder"
"50","L_callipterus","P_microlepis","11.55","30.975","10.652915816086","18.5810594216468","Shrimp_feeder","Scale_feeder"
"51","L_callipterus","T_moorii","11.55","72.425","10.652915816086","25.720277842739","Shrimp_feeder","Filamentous_algae_feeder"
"52","L_callipterus","X_papilio","11.55","5.575","10.652915816086","3.29636551993641","Shrimp_feeder","Filamentous_algae_feeder"
"53","L_dardennii","A_dewindti","9.75","32.8","6.99358680579975","32.8","Unicellular_algae_feeder","Detritus_feeder"
"54","L_dardennii","L_dardennii","9.75","9.75","6.99358680579975","6.99358680579975","Unicellular_algae_feeder","Unicellular_algae_feeder"
"55","L_dardennii","L_tanganicanus","9.75","36.625","6.99358680579975","35.7962091532552","Unicellular_algae_feeder","Unicellular_algae_feeder"
"56","L_dardennii","T_vittatus","9.75","159.55","6.99358680579975","47.1908020155601","Unicellular_algae_feeder","Filamentous_algae_feeder"
"57","L_dardennii","V_moorii","9.75","129.15","6.99358680579975","30.6406383410777","Unicellular_algae_feeder","Microfilamentous_algae_feeder"
"58","L_elongatus","L_elongatus","12.325","12.325","10.4375738904186","10.4375738904186","Fish_feeder","Fish_feeder"
"59","L_elongatus","T_temporalis","12.325","6.825","10.4375738904186","5.41549296948709","Fish_feeder","Filamentous_algae_feeder"
"60","L_elongatus","V_moorii","12.325","129.15","10.4375738904186","30.6406383410777","Fish_feeder","Microfilamentous_algae_feeder"
"61","L_labiatus","A_compressiceps","9.95","3.375","3.29685164501389","3.375","Zoobenthos_feeder","Shrimp_feeder"
"62","L_labiatus","L_labiatus","9.95","9.95","3.29685164501389","3.29685164501389","Zoobenthos_feeder","Zoobenthos_feeder"
"63","L_labiatus","T_moorii","9.95","72.425","3.29685164501389","25.720277842739","Zoobenthos_feeder","Filamentous_algae_feeder"
"64","L_lemairii","L_lemairii","3.125","3.125","2.31148193113178","2.31148193113178","Fish_feeder","Fish_feeder"
"65","L_lemairii","Paracyprichromisspp","3.125","54.325","2.31148193113178","88.0132238024637","Fish_feeder","Zooplankton_feeder"
"66","L_tanganicanus","I_loocki","36.625","19.7","35.7962091532552","15.8214395273612","Unicellular_algae_feeder","Unicellular_algae_feeder"
"67","L_tanganicanus","L_tanganicanus","36.625","36.625","35.7962091532552","35.7962091532552","Unicellular_algae_feeder","Unicellular_algae_feeder"
"68","L_tanganicanus","P_microlepis","36.625","30.975","35.7962091532552","18.5810594216468","Unicellular_algae_feeder","Scale_feeder"
"69","L_tanganicanus","P_polyodon","36.625","7.825","35.7962091532552","4.38463225367875","Unicellular_algae_feeder","Unicellular_algae_feeder"
"70","L_tanganicanus","T_moorii","36.625","72.425","35.7962091532552","25.720277842739","Unicellular_algae_feeder","Filamentous_algae_feeder"
"71","N_fasciatus","A_dewindti","64.1","32.8","16.6576385804508","32.8","Shrimp_feeder","Detritus_feeder"
"72","N_fasciatus","I_loocki","64.1","19.7","16.6576385804508","15.8214395273612","Shrimp_feeder","Unicellular_algae_feeder"
"73","N_fasciatus","N_fasciatus","64.1","64.1","16.6576385804508","16.6576385804508","Shrimp_feeder","Shrimp_feeder"
"74","N_fasciatus","O_ventralis","64.1","77.95","16.6576385804508","37.3925469058015","Shrimp_feeder","Detritus_feeder"
"75","N_fasciatus","P_microlepis","64.1","30.975","16.6576385804508","18.5810594216468","Shrimp_feeder","Scale_feeder"
"76","N_fasciatus","S_multipunctatus","64.1","5.275","16.6576385804508","4.65192267942886","Shrimp_feeder","Microfilamentous_algae_feeder"
"77","N_fasciatus","T_moorii","64.1","72.425","16.6576385804508","25.720277842739","Shrimp_feeder","Filamentous_algae_feeder"
"78","N_fasciatus","T_vittatus","64.1","159.55","16.6576385804508","47.1908020155601","Shrimp_feeder","Filamentous_algae_feeder"
"79","N_fasciatus","X_papilio","64.1","5.575","16.6576385804508","3.29636551993641","Shrimp_feeder","Filamentous_algae_feeder"
"80","N_sexfasciatus","A_compressiceps","3.825","3.375","4.01208111480748","3.375","Zoobenthos_feeder","Shrimp_feeder"
"81","N_sexfasciatus","A_dewindti","3.825","32.8","4.01208111480748","32.8","Zoobenthos_feeder","Detritus_feeder"
"82","N_sexfasciatus","N_sexfasciatus","3.825","3.825","4.01208111480748","4.01208111480748","Zoobenthos_feeder","Zoobenthos_feeder"
"83","N_sexfasciatus","O_ventralis","3.825","77.95","4.01208111480748","37.3925469058015","Zoobenthos_feeder","Detritus_feeder"
"84","N_sexfasciatus","S_multipunctatus","3.825","5.275","4.01208111480748","4.65192267942886","Zoobenthos_feeder","Microfilamentous_algae_feeder"
"85","N_sexfasciatus","T_moorii","3.825","72.425","4.01208111480748","25.720277842739","Zoobenthos_feeder","Filamentous_algae_feeder"
"86","N_sexfasciatus","T_vittatus","3.825","159.55","4.01208111480748","47.1908020155601","Zoobenthos_feeder","Filamentous_algae_feeder"
"87","O_ventralis","A_dewindti","77.95","32.8","37.3925469058015","32.8","Detritus_feeder","Detritus_feeder"
"88","O_ventralis","I_loocki","77.95","19.7","37.3925469058015","15.8214395273612","Detritus_feeder","Unicellular_algae_feeder"
"89","O_ventralis","J_ornatus","77.95","23.275","37.3925469058015","16.4970665613073","Detritus_feeder","Sponge_feeder"
"90","O_ventralis","N_fasciatus","77.95","64.1","37.3925469058015","16.6576385804508","Detritus_feeder","Shrimp_feeder"
"91","O_ventralis","O_ventralis","77.95","77.95","37.3925469058015","37.3925469058015","Detritus_feeder","Detritus_feeder"
"92","O_ventralis","P_microlepis","77.95","30.975","37.3925469058015","18.5810594216468","Detritus_feeder","Scale_feeder"
"93","O_ventralis","T_moorii","77.95","72.425","37.3925469058015","25.720277842739","Detritus_feeder","Filamentous_algae_feeder"
"94","O_ventralis","V_moorii","77.95","129.15","37.3925469058015","30.6406383410777","Detritus_feeder","Microfilamentous_algae_feeder"
"95","Paracyprichromisspp","A_compressiceps","54.325","3.375","88.0132238024637","3.375","Zooplankton_feeder","Shrimp_feeder"
"96","Paracyprichromisspp","N_fasciatus","54.325","64.1","88.0132238024637","16.6576385804508","Zooplankton_feeder","Shrimp_feeder"
"97","Paracyprichromisspp","Paracyprichromisspp","54.325","54.325","88.0132238024637","88.0132238024637","Zooplankton_feeder","Zooplankton_feeder"
"98","Paracyprichromisspp","T_moorii","54.325","72.425","88.0132238024637","25.720277842739","Zooplankton_feeder","Filamentous_algae_feeder"
"99","P_microlepis","A_compressiceps","30.975","3.375","18.5810594216468","3.375","Scale_feeder","Shrimp_feeder"
"100","P_microlepis","A_dewindti","30.975","32.8","18.5810594216468","32.8","Scale_feeder","Detritus_feeder"
"101","P_microlepis","J_ornatus","30.975","23.275","18.5810594216468","16.4970665613073","Scale_feeder","Sponge_feeder"
"102","P_microlepis","N_fasciatus","30.975","64.1","18.5810594216468","16.6576385804508","Scale_feeder","Shrimp_feeder"
"103","P_microlepis","N_sexfasciatus","30.975","3.825","18.5810594216468","4.01208111480748","Scale_feeder","Zoobenthos_feeder"
"104","P_microlepis","O_ventralis","30.975","77.95","18.5810594216468","37.3925469058015","Scale_feeder","Detritus_feeder"
"105","P_microlepis","P_microlepis","30.975","30.975","18.5810594216468","18.5810594216468","Scale_feeder","Scale_feeder"
"106","P_microlepis","P_trewavasae","30.975","24.675","18.5810594216468","8.13472297922418","Scale_feeder","Unicellular_algae_feeder"
"107","P_microlepis","T_moorii","30.975","72.425","18.5810594216468","25.720277842739","Scale_feeder","Filamentous_algae_feeder"
"108","P_polyodon","I_loocki","7.825","19.7","4.38463225367875","15.8214395273612","Unicellular_algae_feeder","Unicellular_algae_feeder"
"109","P_polyodon","J_ornatus","7.825","23.275","4.38463225367875","16.4970665613073","Unicellular_algae_feeder","Sponge_feeder"
"110","P_polyodon","P_polyodon","7.825","7.825","4.38463225367875","4.38463225367875","Unicellular_algae_feeder","Unicellular_algae_feeder"
"111","P_trewavasae","A_dewindti","24.675","32.8","8.13472297922418","32.8","Unicellular_algae_feeder","Detritus_feeder"
"112","P_trewavasae","L_attenuatus","24.675","3.775","8.13472297922418","6.14144182519933","Unicellular_algae_feeder","Fry_feeder"
"113","P_trewavasae","O_ventralis","24.675","77.95","8.13472297922418","37.3925469058015","Unicellular_algae_feeder","Detritus_feeder"
"114","P_trewavasae","P_trewavasae","24.675","24.675","8.13472297922418","8.13472297922418","Unicellular_algae_feeder","Unicellular_algae_feeder"
"115","P_trewavasae","T_moorii","24.675","72.425","8.13472297922418","25.720277842739","Unicellular_algae_feeder","Filamentous_algae_feeder"
"116","S_multipunctatus","N_fasciatus","5.275","64.1","4.65192267942886","16.6576385804508","Microfilamentous_algae_feeder","Shrimp_feeder"
"117","S_multipunctatus","N_sexfasciatus","5.275","3.825","4.65192267942886","4.01208111480748","Microfilamentous_algae_feeder","Zoobenthos_feeder"
"118","S_multipunctatus","S_multipunctatus","5.275","5.275","4.65192267942886","4.65192267942886","Microfilamentous_algae_feeder","Microfilamentous_algae_feeder"
"119","S_multipunctatus","T_vittatus","5.275","159.55","4.65192267942886","47.1908020155601","Microfilamentous_algae_feeder","Filamentous_algae_feeder"
"120","T_moorii","A_dewindti","72.425","32.8","25.720277842739","32.8","Filamentous_algae_feeder","Detritus_feeder"
"121","T_moorii","I_loocki","72.425","19.7","25.720277842739","15.8214395273612","Filamentous_algae_feeder","Unicellular_algae_feeder"
"122","T_moorii","L_elongatus","72.425","12.325","25.720277842739","10.4375738904186","Filamentous_algae_feeder","Fish_feeder"
"123","T_moorii","N_fasciatus","72.425","64.1","25.720277842739","16.6576385804508","Filamentous_algae_feeder","Shrimp_feeder"
"124","T_moorii","N_sexfasciatus","72.425","3.825","25.720277842739","4.01208111480748","Filamentous_algae_feeder","Zoobenthos_feeder"
"125","T_moorii","T_moorii","72.425","72.425","25.720277842739","25.720277842739","Filamentous_algae_feeder","Filamentous_algae_feeder"
"126","T_moorii","V_moorii","72.425","129.15","25.720277842739","30.6406383410777","Filamentous_algae_feeder","Microfilamentous_algae_feeder"
"127","T_moorii","X_papilio","72.425","5.575","25.720277842739","3.29636551993641","Filamentous_algae_feeder","Filamentous_algae_feeder"
"128","T_temporalis","L_callipterus","6.825","11.55","5.41549296948709","10.652915816086","Filamentous_algae_feeder","Shrimp_feeder"
"129","T_temporalis","T_temporalis","6.825","6.825","5.41549296948709","5.41549296948709","Filamentous_algae_feeder","Filamentous_algae_feeder"
"130","T_vittatus","I_loocki","159.55","19.7","47.1908020155601","15.8214395273612","Filamentous_algae_feeder","Unicellular_algae_feeder"
"131","T_vittatus","N_sexfasciatus","159.55","3.825","47.1908020155601","4.01208111480748","Filamentous_algae_feeder","Zoobenthos_feeder"
"132","T_vittatus","P_polyodon","159.55","7.825","47.1908020155601","4.38463225367875","Filamentous_algae_feeder","Unicellular_algae_feeder"
"133","T_vittatus","S_multipunctatus","159.55","5.275","47.1908020155601","4.65192267942886","Filamentous_algae_feeder","Microfilamentous_algae_feeder"
"134","T_vittatus","T_moorii","159.55","72.425","47.1908020155601","25.720277842739","Filamentous_algae_feeder","Filamentous_algae_feeder"
"135","T_vittatus","T_vittatus","159.55","159.55","47.1908020155601","47.1908020155601","Filamentous_algae_feeder","Filamentous_algae_feeder"
"136","T_vittatus","X_papilio","159.55","5.575","47.1908020155601","3.29636551993641","Filamentous_algae_feeder","Filamentous_algae_feeder"
"137","V_moorii","A_dewindti","129.15","32.8","30.6406383410777","32.8","Microfilamentous_algae_feeder","Detritus_feeder"
"138","V_moorii","L_elongatus","129.15","12.325","30.6406383410777","10.4375738904186","Microfilamentous_algae_feeder","Fish_feeder"
"139","V_moorii","N_sexfasciatus","129.15","3.825","30.6406383410777","4.01208111480748","Microfilamentous_algae_feeder","Zoobenthos_feeder"
"140","V_moorii","O_ventralis","129.15","77.95","30.6406383410777","37.3925469058015","Microfilamentous_algae_feeder","Detritus_feeder"
"141","V_moorii","P_microlepis","129.15","30.975","30.6406383410777","18.5810594216468","Microfilamentous_algae_feeder","Scale_feeder"
"142","V_moorii","P_polyodon","129.15","7.825","30.6406383410777","4.38463225367875","Microfilamentous_algae_feeder","Unicellular_algae_feeder"
"143","V_moorii","V_moorii","129.15","129.15","30.6406383410777","30.6406383410777","Microfilamentous_algae_feeder","Microfilamentous_algae_feeder"
"144","V_moorii","X_papilio","129.15","5.575","30.6406383410777","3.29636551993641","Microfilamentous_algae_feeder","Filamentous_algae_feeder"
"145","X_papilio","A_dewindti","5.575","32.8","3.29636551993641","32.8","Filamentous_algae_feeder","Detritus_feeder"
"146","X_papilio","J_ornatus","5.575","23.275","3.29636551993641","16.4970665613073","Filamentous_algae_feeder","Sponge_feeder"
"147","X_papilio","L_elongatus","5.575","12.325","3.29636551993641","10.4375738904186","Filamentous_algae_feeder","Fish_feeder"
"148","X_papilio","P_microlepis","5.575","30.975","3.29636551993641","18.5810594216468","Filamentous_algae_feeder","Scale_feeder"
"149","X_papilio","S_multipunctatus","5.575","5.275","3.29636551993641","4.65192267942886","Filamentous_algae_feeder","Microfilamentous_algae_feeder"
"150","X_papilio","T_moorii","5.575","72.425","3.29636551993641","25.720277842739","Filamentous_algae_feeder","Filamentous_algae_feeder"
"151","X_papilio","X_papilio","5.575","5.575","3.29636551993641","3.29636551993641","Filamentous_algae_feeder","Filamentous_algae_feeder"
