"","cause.x","effect.x","causemeantp0","effectmeantp0","causesdtp0","effectsdtp0","causehabtp0","effecthabtp0","cause_effect","effect.y","cause.y","min","X1st","median","mean","X3rd","max","strength","ratio","effect_cause","match_type","rmatch_type","reversed_cause_effect","match_reversed"
"18","Per.mic","Neo.sex",30.975,3.825,18.5810594216468,4.01208111480748,"Scale_feeder","Zoobenthos_feeder","P_microlepis_N_sexfasciatus","N_sexfasciatus","P_microlepis",-1.11995371552949,-0.507319719027247,-0.358887809207078,-0.445366829793228,-0.276588162851035,0.0768053855779184,"negative",0.973684210526316,"N_sexfasciatus_P_microlepis","No Match","No Match","N_sexfasciatus_P_microlepis",FALSE
"19","Per.mic","Pet.tre",30.975,24.675,18.5810594216468,8.13472297922418,"Scale_feeder","Unicellular_algae_feeder","P_microlepis_P_trewavasae","P_trewavasae","P_microlepis",-3.02876882017924,-1.1987199282338,-0.21550929468027,-0.430345381638452,0.424160654153566,1.44054107467448,"negative",0.578947368421053,"P_trewavasae_P_microlepis","Predator-Prey","Prey-Predator","P_trewavasae_P_microlepis",FALSE
"20","Pet.pol","Int.loo",7.825,19.7,4.38463225367875,15.8214395273612,"Unicellular_algae_feeder","Unicellular_algae_feeder","P_polyodon_I_loocki","I_loocki","P_polyodon",-0.515654644742331,-0.277634257785406,-0.151784101345098,-0.134052188548006,-0.0262845472449748,0.305038742947454,"negative",0.789473684210526,"I_loocki_P_polyodon","No Match","No Match","I_loocki_P_polyodon",FALSE
"21","Tro.moo","Aul.dew",72.425,32.8,25.720277842739,32.8,"Filamentous_algae_feeder","Detritus_feeder","T_moorii_A_dewindti","A_dewindti","T_moorii",-0.545179976644438,-0.447901844555113,-0.376314846451635,-0.371608518217264,-0.311083619489964,0.0250547968220453,"negative",0.973684210526316,"A_dewindti_T_moorii","No Match","No Match","A_dewindti_T_moorii",FALSE
"22","Tel.tem","Lam.cal",6.825,11.55,5.41549296948709,10.652915816086,"Filamentous_algae_feeder","Shrimp_feeder","T_temporalis_L_callipterus","L_callipterus","T_temporalis",-2.11548678153379,-0.387428777847302,0.173886730252032,-0.0111982512516259,0.359968057235922,0.969458344895531,"negative",0.605263157894737,"L_callipterus_T_temporalis","Aggressor-Victim","Victim-Aggressor","L_callipterus_T_temporalis",FALSE
"23","Tel.vit","Int.loo",159.55,19.7,47.1908020155601,15.8214395273612,"Filamentous_algae_feeder","Unicellular_algae_feeder","T_vittatus_I_loocki","I_loocki","T_vittatus",-0.754665518534473,-0.169401816487613,0.00453435059707746,-0.00796765757191204,0.247956327604545,0.442648604222568,"negative",0.5,"I_loocki_T_vittatus","No Match","No Match","I_loocki_T_vittatus",FALSE
"24","Tel.vit","Xen.pap",159.55,5.575,47.1908020155601,3.29636551993641,"Filamentous_algae_feeder","Filamentous_algae_feeder","T_vittatus_X_papilio","X_papilio","T_vittatus",-2.1976435974287,-0.770778940480701,-0.515794711678426,-0.399897766251649,-0.136776235121614,1.23672733147157,"negative",0.815789473684211,"X_papilio_T_vittatus","No Match","No Match","X_papilio_T_vittatus",FALSE
"25","Var.moo","Neo.sex",129.15,3.825,30.6406383410777,4.01208111480748,"Microfilamentous_algae_feeder","Zoobenthos_feeder","V_moorii_N_sexfasciatus","N_sexfasciatus","V_moorii",-0.649991842713149,-0.37427292219539,-0.299955270803205,-0.292612280482498,-0.184973996571805,-0.027520536708925,"negative",1,"N_sexfasciatus_V_moorii","No Match","No Match","N_sexfasciatus_V_moorii",FALSE
"26","Var.moo","Per.mic",129.15,30.975,30.6406383410777,18.5810594216468,"Microfilamentous_algae_feeder","Scale_feeder","V_moorii_P_microlepis","P_microlepis","V_moorii",-1.21727117492346,-0.556957132920564,-0.310810829367383,-0.312345243840551,-0.0627035213883171,0.644222243378819,"negative",0.763157894736842,"P_microlepis_V_moorii","No Match","No Match","P_microlepis_V_moorii",FALSE
"27","Var.moo","Pet.pol",129.15,7.825,30.6406383410777,4.38463225367875,"Microfilamentous_algae_feeder","Unicellular_algae_feeder","V_moorii_P_polyodon","P_polyodon","V_moorii",-0.647773743326423,-0.107939622880736,0.031702088896093,-0.00379174655608525,0.165171217144762,0.4729310835235,"negative",0.552631578947368,"P_polyodon_V_moorii","No Match","No Match","P_polyodon_V_moorii",FALSE
"28","Xen.pap","Jul.orn",5.575,23.275,3.29636551993641,16.4970665613073,"Filamentous_algae_feeder","Sponge_feeder","X_papilio_J_ornatus","J_ornatus","X_papilio",-1.92744744874544,-0.639268763624594,-0.185831765916388,-0.0826108913341479,0.335138534885015,2.89311652746183,"negative",0.605263157894737,"J_ornatus_X_papilio","No Match","No Match","J_ornatus_X_papilio",FALSE
"29","Xen.pap","Per.mic",5.575,30.975,3.29636551993641,18.5810594216468,"Filamentous_algae_feeder","Scale_feeder","X_papilio_P_microlepis","P_microlepis","X_papilio",-0.5672365628268,-0.247271860075754,-0.0036687313204016,-0.0115793493865059,0.193496309353277,0.495926024645836,"negative",0.5,"P_microlepis_X_papilio","No Match","No Match","P_microlepis_X_papilio",FALSE
