,,,Smap coefficient,,,,,,
L_dardennii,T_vittatus,Unicellular_algae_feeder,-0.294099619,0.089190218,0.452373428,Positive,0.657894737,No Match,FALSE
L_dardennii,V_moorii,Unicellular_algae_feeder,-2.472766314,-0.640573278,0.7371532,Negative,0.710526316,No Match,FALSE
L_elongatus,T_temporalis,Fish_feeder,-4.790226974,-0.361401658,5.833065428,Negative,0.578947368,"Predator-Prey, Victim-Aggressor",FALSE
L_elongatus,V_moorii,Fish_feeder,-2.556496846,-0.347356227,1.487763634,Negative,0.657894737,No Match,TRUE
L_labiatus,A_compressiceps,Zoobenthos_feeder,-0.21354537,-0.051181053,0.261612774,Negative,0.736842105,No Match,FALSE
L_labiatus,T_moorii,Zoobenthos_feeder,-0.520745177,-0.300010435,-0.044543522,Negative,1,No Match,FALSE
L_lemairii,Paracyprichromisspp,Fish_feeder,-0.138261536,-0.088013111,-0.021490294,Negative,1,No Match,FALSE
L_tanganicanus,I_loocki,Unicellular_algae_feeder,-0.287578681,0.256030729,0.751916224,Positive,0.842105263,No Match,FALSE
L_tanganicanus,P_microlepis,Unicellular_algae_feeder,-1.66464293,0.064520256,0.82551694,Positive,0.552631579,Prey-Predator,FALSE
L_tanganicanus,P_polyodon,Unicellular_algae_feeder,-2.553814499,0.24189591,2.781220421,Positive,0.5,No Match,FALSE
L_tanganicanus,T_moorii,Unicellular_algae_feeder,-0.589971366,-0.303002509,0.097938682,Negative,0.921052632,No Match,FALSE
N_fasciatus,A_dewindti,Shrimp_feeder,-0.225354718,0.094100135,0.350943747,Positive,0.736842105,No Match,TRUE
N_fasciatus,I_loocki,Shrimp_feeder,-0.515437692,-0.21794214,0.132302986,Negative,0.894736842,No Match,TRUE
N_fasciatus,O_ventralis,Shrimp_feeder,-1.023765201,-0.380998078,0.08803781,Negative,0.921052632,No Match,TRUE
N_fasciatus,P_microlepis,Shrimp_feeder,-0.610344003,0.104477062,1.860852565,Positive,0.578947368,Prey-Predator,TRUE
N_fasciatus,S_multipunctatus,Shrimp_feeder,-1.962453017,-0.389732438,1.101906308,Negative,0.578947368,No Match,TRUE
N_fasciatus,T_moorii,Shrimp_feeder,-0.350005292,-0.060044407,0.343374166,Negative,0.684210526,Predator-Prey,TRUE
N_fasciatus,T_vittatus,Shrimp_feeder,-0.561235523,0.037320412,0.410097582,Positive,0.631578947,No Match,FALSE
N_fasciatus,X_papilio,Shrimp_feeder,-1.647287488,-0.045075737,1.429281149,Negative,0.526315789,No Match,FALSE
N_sexfasciatus,A_compressiceps,Zoobenthos_feeder,-0.129800351,0.337129986,0.739328521,Positive,0.921052632,No Match,FALSE
N_sexfasciatus,A_dewindti,Zoobenthos_feeder,-0.150746794,-0.028947677,0.298276073,Negative,0.657894737,No Match,TRUE
N_sexfasciatus,O_ventralis,Zoobenthos_feeder,-0.636225623,-0.211950351,0.194839416,Negative,0.842105263,No Match,FALSE
N_sexfasciatus,S_multipunctatus,Zoobenthos_feeder,-0.783264321,0.585006774,2.05692415,Positive,0.815789474,No Match,TRUE
N_sexfasciatus,T_moorii,Zoobenthos_feeder,-0.305328664,0.156559253,0.452281377,Positive,0.763157895,No Match,TRUE
N_sexfasciatus,T_vittatus,Zoobenthos_feeder,-0.678215119,-0.173879999,0.375816625,Negative,0.789473684,No Match,TRUE
O_ventralis,A_dewindti,Detritus_feeder,-0.574497465,-0.332707081,-0.129337235,Negative,1,No Match,TRUE
O_ventralis,I_loocki,Detritus_feeder,-0.53530364,-0.223421446,0.132872174,Negative,0.815789474,No Match,TRUE
O_ventralis,J_ornatus,Detritus_feeder,-2.107307133,0.427952972,2.273057665,Positive,0.789473684,No Match,TRUE
O_ventralis,N_fasciatus,Detritus_feeder,-0.724796129,0.09703837,0.801643752,Positive,0.684210526,No Match,TRUE
O_ventralis,P_microlepis,Detritus_feeder,-0.209052335,0.562769903,1.490710183,Positive,0.921052632,Prey-Predator,TRUE
O_ventralis,T_moorii,Detritus_feeder,-0.186210883,0.014974513,0.274113732,Positive,0.552631579,No Match,FALSE
O_ventralis,V_moorii,Detritus_feeder,-2.720007522,-0.226870382,1.976339436,Negative,0.526315789,No Match,TRUE
Paracyprichromisspp,A_compressiceps,Zooplankton_feeder,-0.269655077,0.073948806,0.274414531,Positive,0.789473684,No Match,FALSE
Paracyprichromisspp,N_fasciatus,Zooplankton_feeder,-0.83274642,0.024779827,0.534624675,Positive,0.5,No Match,FALSE
Paracyprichromisspp,T_moorii,Zooplankton_feeder,-0.083110062,0.383055371,0.819601261,Positive,0.973684211,No Match,FALSE
P_microlepis,A_compressiceps,Scale_feeder,-0.167799091,0.162997505,0.413896724,Positive,0.842105263,No Match,FALSE
P_microlepis,A_dewindti,Scale_feeder,-0.639669667,-0.313793631,-0.053715413,Negative,1,No Match,TRUE
P_microlepis,J_ornatus,Scale_feeder,-3.851391402,-0.280973994,5.597003659,Negative,0.526315789,No Match,TRUE
P_microlepis,N_fasciatus,Scale_feeder,-0.166336406,0.315342589,1.309028087,Positive,0.868421053,Predator-Prey,TRUE
P_microlepis,N_sexfasciatus,Scale_feeder,-1.119953716,-0.44536683,0.076805386,Negative,0.973684211,No Match,FALSE
P_microlepis,O_ventralis,Scale_feeder,-0.306830012,-0.037257982,0.270095375,Negative,0.631578947,Predator-Prey,TRUE
P_microlepis,P_trewavasae,Scale_feeder,-3.02876882,-0.430345382,1.440541075,Negative,0.578947368,"Predator-Prey, Victim-Aggressor",FALSE
P_microlepis,T_moorii,Scale_feeder,-0.337896143,0.072020447,0.407128121,Positive,0.631578947,"Predator-Prey, Victim-Aggressor",FALSE
P_polyodon,I_loocki,Unicellular_algae_feeder,-0.515654645,-0.134052189,0.305038743,Negative,0.789473684,No Match,FALSE
P_polyodon,J_ornatus,Unicellular_algae_feeder,-0.927397187,0.675813983,7.457158949,Positive,0.684210526,No Match,FALSE
P_trewavasae,A_dewindti,Unicellular_algae_feeder,-0.083161048,0.203329759,0.47919802,Positive,0.973684211,No Match,TRUE
P_trewavasae,L_attenuatus,Unicellular_algae_feeder,-0.435344987,0.294553228,1.350961901,Positive,0.710526316,No Match,FALSE
P_trewavasae,O_ventralis,Unicellular_algae_feeder,-0.178790535,0.093863916,0.445027603,Positive,0.736842105,No Match,FALSE
P_trewavasae,T_moorii,Unicellular_algae_feeder,-0.13076555,0.142881556,0.394253655,Positive,0.894736842,No Match,FALSE
S_multipunctatus,N_fasciatus,Microfilamentous_algae_feeder,-1.36573766,-0.578357329,0.153036573,Negative,0.947368421,No Match,TRUE
S_multipunctatus,N_sexfasciatus,Microfilamentous_algae_feeder,-0.728997441,-0.217300651,0.132527046,Negative,0.894736842,No Match,TRUE
S_multipunctatus,T_vittatus,Microfilamentous_algae_feeder,-0.32417648,0.119681205,0.486611314,Positive,0.736842105,No Match,TRUE
T_moorii,A_dewindti,Filamentous_algae_feeder,-0.545179977,-0.371608518,0.025054797,Negative,0.973684211,No Match,FALSE
T_moorii,I_loocki,Filamentous_algae_feeder,-0.410499859,-0.070946057,0.302950541,Negative,0.631578947,No Match,TRUE
T_moorii,L_elongatus,Filamentous_algae_feeder,-1.023807287,0.831539873,3.070691701,Positive,0.736842105,No Match,FALSE
T_moorii,N_fasciatus,Filamentous_algae_feeder,-0.413220032,0.189692919,0.595572848,Positive,0.789473684,Prey-Predator,TRUE
T_moorii,N_sexfasciatus,Filamentous_algae_feeder,0.009630228,0.300549699,0.7503677,Positive,1,No Match,TRUE
T_moorii,V_moorii,Filamentous_algae_feeder,-1.984995208,0.004230381,1.231021322,Positive,0.605263158,No Match,FALSE
T_moorii,X_papilio,Filamentous_algae_feeder,-1.104085019,-0.101700384,0.899448486,Negative,0.5,No Match,TRUE
T_temporalis,L_callipterus,Filamentous_algae_feeder,-2.115486782,-0.011198251,0.969458345,Negative,0.605263158,Aggressor-Victim,FALSE
T_vittatus,I_loocki,Filamentous_algae_feeder,-0.754665519,-0.007967658,0.442648604,Negative,0.5,No Match,FALSE
T_vittatus,N_sexfasciatus,Filamentous_algae_feeder,-0.888115845,-0.209211152,0.327620523,Negative,0.736842105,No Match,TRUE
T_vittatus,P_polyodon,Filamentous_algae_feeder,-1.403794982,0.002068567,1.080036321,Positive,0.526315789,No Match,FALSE
T_vittatus,S_multipunctatus,Filamentous_algae_feeder,-3.681735802,-0.329908662,2.283665927,Negative,0.605263158,No Match,TRUE
T_vittatus,T_moorii,Filamentous_algae_feeder,-0.478264162,0.379513159,1.002908023,Positive,0.763157895,No Match,FALSE
T_vittatus,X_papilio,Filamentous_algae_feeder,-2.197643597,-0.399897766,1.236727331,Negative,0.815789474,No Match,FALSE
V_moorii,A_dewindti,Microfilamentous_algae_feeder,0.210930586,0.509939858,0.902802372,Positive,1,No Match,FALSE
V_moorii,L_elongatus,Microfilamentous_algae_feeder,-2.535694399,-0.161264243,3.798627842,Negative,0.605263158,No Match,TRUE
V_moorii,N_sexfasciatus,Microfilamentous_algae_feeder,-0.649991843,-0.29261228,-0.027520537,Negative,1,No Match,FALSE
V_moorii,O_ventralis,Microfilamentous_algae_feeder,-0.859411979,-0.503843372,-0.125668175,Negative,1,No Match,TRUE
V_moorii,P_microlepis,Microfilamentous_algae_feeder,-1.217271175,-0.312345244,0.644222243,Negative,0.763157895,No Match,FALSE
V_moorii,P_polyodon,Microfilamentous_algae_feeder,-0.647773743,-0.003791747,0.472931084,Negative,0.552631579,No Match,FALSE
V_moorii,X_papilio,Microfilamentous_algae_feeder,-0.500055061,0.158103507,1.087187923,Positive,0.605263158,No Match,FALSE
X_papilio,A_dewindti,Filamentous_algae_feeder,-0.013824887,0.219178184,0.430894358,Positive,0.973684211,No Match,FALSE
X_papilio,J_ornatus,Filamentous_algae_feeder,-1.927447449,-0.082610891,2.893116527,Negative,0.605263158,No Match,FALSE
X_papilio,L_elongatus,Filamentous_algae_feeder,-2.418500602,0.128145374,2.683777066,Positive,0.578947368,No Match,FALSE
X_papilio,P_microlepis,Filamentous_algae_feeder,-0.567236563,-0.011579349,0.495926025,Negative,0.5,No Match,FALSE
X_papilio,S_multipunctatus,Filamentous_algae_feeder,-0.865476101,0.219655273,1.309235043,Positive,0.684210526,No Match,FALSE
X_papilio,T_moorii,Filamentous_algae_feeder,-0.344605886,-0.079531412,0.238087472,Negative,0.736842105,No Match,TRUE
