"","X","cause","effect","CCMmatchList","AggmatchList","foodmatchList","lowermatchList","cantEmbeddingmatchList","linearitymatchList","SmapMean","causepopmean","effectpopmean","causepopsd","effectpopsd","causehabitat","effecthabitat","smapmin","smapX1st","smapmedian","smapmean","smapX3rd","smapmax","strength","Strength","ratio","Smap_cum_sum","Smap_abs_mean","Neg","Pos"
"74",74,"Syn.mul","Oph.ven","persistence",NA,NA,NA,NA,NA,0.330646156,5.275,77.95,4.651922679,37.39254691,"Microfilamentous_algae_feeder","Detritus_feeder",0.1627092625,0.2627206776,0.3063770931,0.330646156,0.3871898827,0.5500716955,"positive","Positive",1,12.56455393,0.330646156,0,1
"76",76,"Xen.pap","Oph.ven","persistence",NA,NA,NA,NA,NA,0.01690613096,5.575,77.95,3.29636552,37.39254691,"Filamentous_algae_feeder","Detritus_feeder",-0.2186860096,-0.03883623504,-0.004396510462,0.01690613096,0.08627564538,0.2509402765,"positive","Positive",0.5526315789,0.6424329764,0.07509256463,0,1
"78",78,"Lam.lem","Par.spp","persistence",NA,NA,NA,NA,NA,0.04492186406,3.125,54.325,2.311481931,88.0132238,"Fish_feeder","Zooplankton_feeder",-1.027648829,-0.1537165656,0.07737827139,0.04492186406,0.2391423686,0.663265106,"positive","Positive",0.5789473684,1.707030834,0.2659130634,0,1
"80",80,"Gna.pfe","Per.mic","persistence",0.05,NA,NA,NA,NA,0.1397685296,7.5,30.975,4.585372507,18.58105942,"Shrimp_feeder","Scale_feeder",-0.1901283933,0.06134548503,0.1478183769,0.1397685296,0.236278744,0.544581347,"positive","Positive",0.8421052632,5.311204124,0.1681389405,0,1
"83",83,"Lam.tan","Per.mic","persistence",NA,NA,NA,NA,NA,0.08725340847,36.625,30.975,35.79620915,18.58105942,"Unicellular_algae_feeder","Scale_feeder",-0.2417412021,0.01411685807,0.1031785192,0.08725340847,0.1802658458,0.3611244589,"positive","Positive",0.7631578947,3.315629522,0.1286286595,0,1
"89",89,"Lam.lem","Pet.pol","persistence",NA,NA,NA,NA,NA,0.4191524742,3.125,7.825,2.311481931,4.384632254,"Fish_feeder","Unicellular_algae_feeder",-0.1840089658,0.261641716,0.4707467301,0.4191524742,0.6173307287,0.7476526706,"positive","Positive",0.9210526316,15.92779402,0.4307727564,0,1
"99",99,"Xen.pap","Syn.mul","persistence",NA,NA,NA,NA,NA,0.2196552732,5.575,5.275,3.29636552,4.651922679,"Filamentous_algae_feeder","Microfilamentous_algae_feeder",-0.8654761008,-0.07724513109,0.1710576048,0.2196552732,0.5071734728,1.309235043,"positive","Positive",0.6842105263,8.346900382,0.3795611385,0,1
"104",104,"Lam.cal","Tro.moo","persistence",NA,NA,NA,NA,NA,0.5554615118,11.55,72.425,10.65291582,25.72027784,"Shrimp_feeder","Filamentous_algae_feeder",0.2707557013,0.4669556667,0.558841551,0.5554615118,0.632984459,0.906156213,"positive","Positive",1,21.10753745,0.5554615118,0,1
"110",110,"Par.spp","Tro.moo","persistence",NA,NA,NA,NA,NA,0.2380947562,54.325,72.425,88.0132238,25.72027784,"Zooplankton_feeder","Filamentous_algae_feeder",0.07110250337,0.1783315442,0.2314215638,0.2380947562,0.2849039171,0.4813617171,"positive","Positive",1,9.047600735,0.2380947562,0,1
"112",112,"Pet.tre","Tro.moo","persistence",NA,NA,NA,NA,NA,0.01999825806,24.675,72.425,8.134722979,25.72027784,"Unicellular_algae_feeder","Filamentous_algae_feeder",-0.1344030714,-0.02992275062,0.0144595792,0.01999825806,0.04095981433,0.1915622188,"positive","Positive",0.5789473684,0.7599338062,0.05648893995,0,1
"113",113,"Aul.dew","Tel.vit","persistence",NA,NA,NA,NA,NA,0.2246951337,32.8,159.55,34.45636408,47.19080202,"Detritus_feeder","Filamentous_algae_feeder",-0.06141761647,0.1326706301,0.2385985194,0.2246951337,0.3171335765,0.39382251,"positive","Positive",0.9473684211,8.538415082,0.2300316733,0,1
"114",114,"Jul.orn","Tel.vit","persistence",NA,NA,NA,NA,NA,0.3290733398,23.275,159.55,16.49706656,47.19080202,"Sponge_feeder","Filamentous_algae_feeder",-0.2759362496,0.1356662447,0.3131565177,0.3290733398,0.4434023239,0.9897120265,"positive","Positive",0.9736842105,12.50478691,0.3435963003,0,1
"115",115,"Lim.dar","Tel.vit","persistence",NA,NA,NA,NA,NA,0.1587931761,9.75,159.55,6.993586806,47.19080202,"Unicellular_algae_feeder","Filamentous_algae_feeder",-0.04364645349,0.0701491464,0.1593953237,0.1587931761,0.2182817713,0.4013921242,"positive","Positive",0.9210526316,6.034140691,0.1643478563,0,1
"123",123,"Tro.moo","Var.moo","persistence",NA,NA,NA,NA,NA,0.226295527,72.425,129.15,25.72027784,30.64063834,"Filamentous_algae_feeder","Microfilamentous_algae_feeder",-0.6921053564,-0.0532446018,0.2082780913,0.226295527,0.5443713933,0.8036815449,"positive","Positive",0.6842105263,8.599230025,0.3494525561,0,1
"124",124,"Lep.att","Xen.pap","persistence",NA,NA,NA,NA,NA,0.9543158663,3.775,5.575,6.141441825,3.29636552,"Fry_feeder","Filamentous_algae_feeder",-3.977143905,0.1029224816,0.9138463315,0.9543158663,2.155540459,4.909076037,"positive","Positive",0.7631578947,36.26400292,1.473498786,0,1
"126",126,"Pet.tre","Xen.pap","persistence",NA,NA,NA,NA,NA,0.01145807573,24.675,5.575,8.134722979,3.29636552,"Unicellular_algae_feeder","Filamentous_algae_feeder",-2.555721117,-0.4141528307,0.1208602068,0.01145807573,0.6243084007,1.603764221,"positive","Positive",0.5526315789,0.4354068779,0.6307820005,0,1
"127",127,"Tel.vit","Xen.pap","persistence",NA,NA,NA,NA,NA,0.1189397346,159.55,5.575,47.19080202,3.29636552,"Filamentous_algae_feeder","Filamentous_algae_feeder",-1.923821948,-0.5024383086,0.05490813989,0.1189397346,0.5138246822,2.945891569,"positive","Positive",0.5263157895,4.519709914,0.7924461408,0,1
"128",128,"Var.moo","Xen.pap","persistence",NA,NA,NA,NA,NA,0.05847769625,129.15,5.575,30.64063834,3.29636552,"Microfilamentous_algae_feeder","Filamentous_algae_feeder",-0.6834101668,-0.2345050011,0.03165936067,0.05847769625,0.238375981,1.113568201,"positive","Positive",0.5526315789,2.222152458,0.3543982635,0,1
