"","X","cause","effect","CCMmatchList","AggmatchList","foodmatchList","lowermatchList","cantEmbeddingmatchList","linearitymatchList","SmapMean","causepopmean","effectpopmean","causepopsd","effectpopsd","causehabitat","effecthabitat","smapmin","smapX1st","smapmedian","smapmean","smapX3rd","smapmax","strength","Strength","ratio","Smap_cum_sum","Smap_abs_mean","Neg","Pos"
"82",82,"Lam.cal","Per.mic","persistence",NA,NA,NA,NA,NA,-0.3788703428,11.55,30.975,10.65291582,18.58105942,"Shrimp_feeder","Scale_feeder",-1.156325363,-0.4961629793,-0.3853015208,-0.3788703428,-0.2400187916,0.09554567293,"negative","Negative",0.9473684211,14.39707303,0.3854035445,1,0
"87",87,"Var.moo","Per.mic","persistence",NA,NA,NA,NA,NA,-0.5463604696,129.15,30.975,30.64063834,18.58105942,"Microfilamentous_algae_feeder","Scale_feeder",-0.9214700611,-0.7071916927,-0.5161726666,-0.5463604696,-0.4109065912,-0.132835254,"negative","Negative",1,20.76169785,0.5463604696,1,0
"88",88,"Xen.pap","Per.mic","persistence",NA,NA,NA,NA,NA,-0.01420662238,5.575,30.975,3.29636552,18.58105942,"Filamentous_algae_feeder","Scale_feeder",-0.3193636149,-0.07630987388,-0.006474194922,-0.01420662238,0.06072669164,0.2014371615,"negative","Negative",0.5526315789,0.5398516505,0.08485575082,1,0
"90",90,"Lam.tan","Pet.pol","persistence",NA,NA,NA,NA,NA,-0.2381005335,36.625,7.825,35.79620915,4.384632254,"Unicellular_algae_feeder","Unicellular_algae_feeder",-1.766432394,-0.2917726044,-0.2066978188,-0.2381005335,-0.08740746152,0.6069695156,"negative","Negative",0.8157894737,9.047820272,0.3138969188,1,0
"92",92,"Var.moo","Pet.pol","persistence",NA,NA,NA,NA,NA,-0.2297713607,129.15,7.825,30.64063834,4.384632254,"Microfilamentous_algae_feeder","Unicellular_algae_feeder",-0.6862375493,-0.3042993648,-0.2116510947,-0.2297713607,-0.1165633702,0.01889060476,"negative","Negative",0.9736842105,8.731311708,0.2307656031,1,0
"94",94,"Per.mic","Pet.tre","persistence",NA,NA,NA,NA,NA,-0.2371769293,30.975,24.675,18.58105942,8.134722979,"Scale_feeder","Unicellular_algae_feeder",-0.5694046304,-0.3567759226,-0.2678352375,-0.2371769293,-0.1378617443,0.1625292306,"negative","Negative",0.9473684211,9.012723312,0.2523076419,1,0
"95",95,"Tel.vit","Pet.tre","persistence",NA,NA,NA,NA,NA,-0.2317209515,159.55,24.675,47.19080202,8.134722979,"Filamentous_algae_feeder","Unicellular_algae_feeder",-0.7515167742,-0.3697286629,-0.2246780941,-0.2317209515,-0.08613833345,0.4261905487,"negative","Negative",0.8684210526,8.805396157,0.2659506934,1,0
"102",102,"Jul.orn","Tro.moo","persistence",NA,NA,NA,NA,NA,-0.2044898292,23.275,72.425,16.49706656,25.72027784,"Sponge_feeder","Filamentous_algae_feeder",-0.5147878793,-0.2832070413,-0.2004560959,-0.2044898292,-0.1144672006,0.0373249806,"negative","Negative",0.9473684211,7.770613508,0.2076584609,1,0
"105",105,"Lob.lab","Tro.moo","persistence",NA,NA,NA,NA,NA,-0.2220878713,9.95,72.425,3.296851645,25.72027784,"Zoobenthos_feeder","Filamentous_algae_feeder",-0.3692231088,-0.2742127468,-0.2155560231,-0.2220878713,-0.1676606198,-0.0888426243,"negative","Negative",1,8.439339111,0.2220878713,1,0
"106",106,"Lam.tan","Tro.moo","persistence",NA,NA,NA,NA,NA,-0.1173225211,36.625,72.425,35.79620915,25.72027784,"Unicellular_algae_feeder","Filamentous_algae_feeder",-0.2628921979,-0.180459003,-0.1102554192,-0.1173225211,-0.0660898303,0.09521869296,"negative","Negative",0.9210526316,4.458255801,0.1242452651,1,0
"116",116,"Neo.fas","Tel.vit","persistence",NA,NA,NA,NA,NA,-0.06454539716,64.1,159.55,16.65763858,47.19080202,"Shrimp_feeder","Filamentous_algae_feeder",-0.4059788358,-0.1441185046,-0.07189048871,-0.06454539716,0.05568228123,0.1756976478,"negative","Negative",0.6842105263,2.452725092,0.1314500986,1,0
"120",120,"Lim.dar","Var.moo","persistence",NA,NA,NA,NA,NA,-0.2995307793,9.75,129.15,6.993586806,30.64063834,"Unicellular_algae_feeder","Microfilamentous_algae_feeder",-1.20432122,-0.6035662945,-0.2401561227,-0.2995307793,0.007107244849,0.3398992058,"negative","Negative",0.7368421053,11.38216961,0.3959854971,1,0
"122",122,"Oph.ven","Var.moo","persistence",NA,NA,NA,NA,NA,-0.1164808429,77.95,129.15,37.39254691,30.64063834,"Detritus_feeder","Microfilamentous_algae_feeder",-1.153112683,-0.3432185715,-0.04911737637,-0.1164808429,0.2096029206,0.6064776212,"negative","Negative",0.6052631579,4.426272029,0.3328306561,1,0
"125",125,"Lam.cal","Xen.pap","persistence",NA,NA,NA,NA,NA,-0.1487942666,11.55,5.575,10.65291582,3.29636552,"Shrimp_feeder","Filamentous_algae_feeder",-2.501632691,-1.030633731,-0.1561298223,-0.1487942666,0.581985405,3.215164129,"negative","Negative",0.5263157895,5.654182132,0.917895522,1,0
