"","cause","effect"
"73","N_fasciatus","T_moorii"
"74","N_fasciatus","T_vittatus"
"75","N_sexfasciatus","N_sexfasciatus"
"76","N_sexfasciatus","S_multipunctatus"
"77","N_sexfasciatus","T_moorii"
"78","N_sexfasciatus","T_vittatus"
"79","O_ventralis","A_dewindti"
"80","O_ventralis","I_loocki"
"81","O_ventralis","J_ornatus"
"82","O_ventralis","N_fasciatus"
"83","O_ventralis","O_ventralis"
"84","O_ventralis","P_microlepis"
"85","O_ventralis","T_moorii"
"86","O_ventralis","V_moorii"
"87","Paracyprichromisspp","I_loocki"
"88","Paracyprichromisspp","N_fasciatus"
"89","Paracyprichromisspp","Paracyprichromisspp"
"90","Paracyprichromisspp","T_moorii"
"91","P_microlepis","A_dewindti"
"92","P_microlepis","J_ornatus"
"93","P_microlepis","L_dardennii"
"94","P_microlepis","N_fasciatus"
"95","P_microlepis","N_sexfasciatus"
"96","P_microlepis","O_ventralis"
"97","P_microlepis","P_microlepis"
"98","P_microlepis","P_trewavasae"
"99","P_microlepis","T_moorii"
"100","P_polyodon","A_dewindti"
"101","P_polyodon","I_loocki"
"102","P_polyodon","P_polyodon"
"103","P_polyodon","T_vittatus"
"104","P_trewavasae","A_dewindti"
"105","P_trewavasae","L_attenuatus"
"106","P_trewavasae","N_fasciatus"
"107","P_trewavasae","P_trewavasae"
"108","P_trewavasae","T_moorii"
"109","P_trewavasae","X_papilio"
"110","S_multipunctatus","N_fasciatus"
"111","S_multipunctatus","N_sexfasciatus"
"112","S_multipunctatus","O_ventralis"
"113","S_multipunctatus","S_multipunctatus"
"114","S_multipunctatus","T_vittatus"
"115","T_moorii","A_dewindti"
"116","T_moorii","I_loocki"
"117","T_moorii","L_attenuatus"
"118","T_moorii","L_dardennii"
"119","T_moorii","L_elongatus"
"120","T_moorii","N_fasciatus"
"121","T_moorii","N_sexfasciatus"
"122","T_moorii","O_ventralis"
"123","T_moorii","P_microlepis"
"124","T_moorii","T_moorii"
"125","T_moorii","V_moorii"
"126","T_temporalis","L_callipterus"
"127","T_temporalis","L_elongatus"
"128","T_temporalis","T_temporalis"
"129","T_vittatus","I_loocki"
"130","T_vittatus","N_sexfasciatus"
"131","T_vittatus","P_polyodon"
"132","T_vittatus","P_trewavasae"
"133","T_vittatus","S_multipunctatus"
"134","T_vittatus","T_vittatus"
"135","T_vittatus","X_papilio"
"136","V_moorii","A_dewindti"
"137","V_moorii","L_elongatus"
"138","V_moorii","N_sexfasciatus"
"139","V_moorii","P_microlepis"
"140","V_moorii","P_polyodon"
"141","V_moorii","V_moorii"
"142","V_moorii","X_papilio"
"143","X_papilio","A_dewindti"
"144","X_papilio","I_loocki"
"145","X_papilio","J_ornatus"
"146","X_papilio","L_elongatus"
"147","X_papilio","N_fasciatus"
"148","X_papilio","O_ventralis"
"149","X_papilio","P_microlepis"
"150","X_papilio","S_multipunctatus"
"151","X_papilio","X_papilio"
