,cause,effect,CCMmatchList,AggmatchList,foodmatchList,lowermatchList,cantEmbeddingmatchList,linearitymatchList,SmapMean,causepopmean,effectpopmean,causepopsd,effectpopsd,causehabitat,effecthabitat,smapmin,smapX1st,smapmedian,smapmean,smapX3rd,smapmax,strength,Strength,ratio,Smap_cum_sum,Smap_abs_mean,Neg,Pos
20,Tro.moo,Int.loo,persistence,NA,NA,NA,NA,NA,-0.1407321989,72.425,19.7,25.72027784,15.82143953,Filamentous_algae_feeder,Unicellular_algae_feeder,-0.3454753455,-0.233440159,-0.1503724196,-0.1407321989,-0.06451240189,0.129091578,negative,Negative,0.8421052632,5.347823557,0.1606631693,1,0
21,Tel.vit,Int.loo,persistence,NA,NA,NA,NA,NA,-0.3651817985,159.55,19.7,47.19080202,15.82143953,Filamentous_algae_feeder,Unicellular_algae_feeder,-1.242446056,-0.6369201494,-0.2369023716,-0.3651817985,-0.0570784853,0.1713666296,negative,Negative,0.8421052632,13.87690834,0.3968429347,1,0
22,Xen.pap,Int.loo,persistence,NA,NA,NA,NA,NA,-0.3587656492,5.575,19.7,3.29636552,15.82143953,Filamentous_algae_feeder,Unicellular_algae_feeder,-0.8695755649,-0.4668079297,-0.4281468399,-0.3587656492,-0.2732755704,0.05868978566,negative,Negative,0.9210526316,13.63309467,0.3668415035,1,0
23,Lam.cal,Jul.orn,persistence,NA,NA,NA,NA,NA,0.781578945,11.55,23.275,10.65291582,16.49706656,Shrimp_feeder,Sponge_feeder,-0.1452431124,0.4264560237,0.7220245944,0.781578945,1.047627575,2.692473061,positive,Positive,0.9736842105,29.69999991,0.7892233193,0,1
24,Oph.ven,Jul.orn,persistence,NA,NA,NA,NA,NA,0.1842384539,77.95,23.275,37.39254691,16.49706656,Detritus_feeder,Sponge_feeder,-0.3062980448,0.03192467399,0.1849508976,0.1842384539,0.3384781278,0.7064096084,positive,Positive,0.8684210526,7.001061248,0.2339572993,0,1
25,Per.mic,Jul.orn,persistence,NA,NA,NA,NA,NA,-0.2062111369,30.975,23.275,18.58105942,16.49706656,Scale_feeder,Sponge_feeder,-1.82154687,-0.3733258269,-0.1988497796,-0.2062111369,0.1089109372,0.4961910245,negative,Negative,0.6578947368,7.836023203,0.363501082,1,0
26,Xen.pap,Jul.orn,persistence,NA,NA,NA,NA,NA,-0.1540042352,5.575,23.275,3.29636552,16.49706656,Filamentous_algae_feeder,Sponge_feeder,-1.170358793,-0.384179575,-0.1554950448,-0.1540042352,0.02650215176,0.8780201729,negative,Negative,0.7105263158,5.852160939,0.3272857331,1,0
27,Pet.tre,Lep.att,persistence,NA,NA,NA,NA,NA,0.1430839052,24.675,3.775,8.134722979,6.141441825,Unicellular_algae_feeder,Fry_feeder,0.1009245957,0.141644166,0.1446045208,0.1430839052,0.1476057538,0.1798796943,positive,Positive,1,5.437188399,0.1430839052,0,1
28,Tro.moo,Lep.att,persistence,NA,NA,NA,NA,NA,0.2036927104,72.425,3.775,25.72027784,6.141441825,Filamentous_algae_feeder,Fry_feeder,0.09145254182,0.1966258847,0.2017464018,0.2036927104,0.2147461734,0.2462051693,positive,Positive,1,7.740322995,0.2036927104,0,1
29,Aul.dew,Lam.cal,persistence,NA,NA,NA,NA,NA,0.2352967717,32.8,11.55,34.45636408,10.65291582,Detritus_feeder,Shrimp_feeder,-0.7235484007,-0.1412714008,0.08972231395,0.2352967717,0.4613179396,2.315096326,positive,Positive,0.5526315789,8.941277324,0.4367428929,0,1
30,Jul.orn,Lam.cal,persistence,NA,NA,NA,NA,NA,0.240757809,23.275,11.55,16.49706656,10.65291582,Sponge_feeder,Shrimp_feeder,-1.141854347,-0.1541035621,0.2465156672,0.240757809,0.4614554769,1.608555037,positive,Positive,0.6315789474,9.148796742,0.5058717853,0,1
31,Lep.att,Lam.cal,persistence,NA,NA,NA,NA,NA,0.5836001873,3.775,11.55,6.141441825,10.65291582,Fry_feeder,Shrimp_feeder,-1.293282132,0.06092968679,0.6213087031,0.5836001873,0.9459488372,2.402882177,positive,Positive,0.7631578947,22.17680712,0.8099516638,0,1
32,Tel.tem,Lam.cal,persistence,0.3,NA,NA,NA,NA,-0.01119825125,6.825,11.55,5.415492969,10.65291582,Filamentous_algae_feeder,Shrimp_feeder,-2.115486782,-0.3874287778,0.1738867303,-0.01119825125,0.3599680572,0.9694583449,negative,Negative,0.6052631579,0.4255335476,0.4943390373,1,0
33,Gna.pfe,Lim.dar,persistence,NA,NA,NA,NA,NA,0.06775402049,7.5,9.75,4.585372507,6.993586806,Shrimp_feeder,Unicellular_algae_feeder,-1.459492568,-0.129056993,0.2251546402,0.06775402049,0.3536492558,0.671661486,positive,Positive,0.6052631579,2.574652779,0.3582172528,0,1
34,Lam.cal,Lim.dar,persistence,NA,NA,NA,NA,NA,-0.4116530558,11.55,9.75,10.65291582,6.993586806,Shrimp_feeder,Unicellular_algae_feeder,-2.084174957,-0.6304058879,-0.2800398373,-0.4116530558,-0.05040337219,0.2430637165,negative,Negative,0.8157894737,15.64281612,0.458317693,1,0
35,Per.mic,Lim.dar,persistence,NA,NA,NA,NA,NA,0.08940165138,30.975,9.75,18.58105942,6.993586806,Scale_feeder,Unicellular_algae_feeder,-0.8466316812,-0.1832608546,-0.003854913283,0.08940165138,0.362160359,1.243922126,positive,Positive,0.5263157895,3.397262752,0.3798195655,0,1
36,Tro.moo,Lim.dar,persistence,NA,NA,NA,NA,NA,-0.2389054205,72.425,9.75,25.72027784,6.993586806,Filamentous_algae_feeder,Unicellular_algae_feeder,-1.069799213,-0.538042772,-0.2439650007,-0.2389054205,-0.0294030106,0.846452202,negative,Negative,0.7631578947,9.078405978,0.352477875,1,0
37,Aul.dew,Lep.elo,persistence,NA,NA,NA,NA,NA,-0.02323008197,32.8,12.325,34.45636408,10.43757389,Detritus_feeder,Fish_feeder,-2.608714537,-0.6522640956,-0.1801582321,-0.02323008197,0.2550789168,5.854586287,negative,Negative,0.6315789474,0.8827431149,0.798591054,1,0
38,Lim.dar,Lep.elo,persistence,NA,NA,NA,NA,NA,-0.2394976939,9.75,12.325,6.993586806,10.43757389,Unicellular_algae_feeder,Fish_feeder,-2.60828005,-0.5917527931,-0.3468647787,-0.2394976939,0.3221658794,1.570080907,negative,Negative,0.6052631579,9.100912368,0.7223339246,1,0
39,Tro.moo,Lep.elo,persistence,NA,NA,NA,NA,NA,0.1053110188,72.425,12.325,25.72027784,10.43757389,Filamentous_algae_feeder,Fish_feeder,-1.294206904,-0.1639989327,0.1613727983,0.1053110188,0.421843776,1.260174997,positive,Positive,0.6578947368,4.001818713,0.4534884782,0,1
40,Tel.tem,Lep.elo,persistence,NA,NA,NA,NA,NA,-1.003674786,6.825,12.325,5.415492969,10.43757389,Filamentous_algae_feeder,Fish_feeder,-4.572401742,-1.953456671,-0.582075145,-1.003674786,-0.04864055203,1.158539925,negative,Negative,0.7894736842,38.13964187,1.242183626,1,0
41,Var.moo,Lep.elo,persistence,NA,NA,NA,NA,NA,0.0480702204,129.15,12.325,30.64063834,10.43757389,Microfilamentous_algae_feeder,Fish_feeder,-2.957587634,-0.4461917031,0.2069769145,0.0480702204,0.5861953508,1.757189398,positive,Positive,0.6315789474,1.826668375,0.7085083615,0,1
42,Xen.pap,Lep.elo,persistence,NA,NA,NA,NA,NA,0.4337887759,5.575,12.325,3.29636552,10.43757389,Filamentous_algae_feeder,Fish_feeder,-1.44315682,-0.2849959015,0.02598148196,0.4337887759,0.7342964011,3.713194209,positive,Positive,0.5263157895,16.48397348,0.8117166008,0,1
43,Lep.att,Lob.lab,persistence,NA,NA,NA,NA,NA,0.145024387,3.775,9.95,6.141441825,3.296851645,Fry_feeder,Zoobenthos_feeder,-6.158787303,-1.422715423,0.316369057,0.145024387,2.002062963,10.26573211,positive,Positive,0.6578947368,5.510926706,2.497417993,0,1
44,Aul.dew,Lam.lem,persistence,NA,NA,NA,NA,NA,1.342272893,32.8,3.125,34.45636408,2.311481931,Detritus_feeder,Fish_feeder,-7.205185427,-0.6235737246,1.117691485,1.342272893,3.290475725,8.052471282,positive,Positive,0.6315789474,51.00636993,2.653939561,0,1
45,Int.loo,Lam.tan,persistence,NA,NA,NA,NA,NA,-0.1285993467,19.7,36.625,15.82143953,35.79620915,Unicellular_algae_feeder,Unicellular_algae_feeder,-0.2871622635,-0.1921576291,-0.1486571219,-0.1285993467,-0.08222218155,0.1268692902,negative,Negative,0.8947368421,4.886775176,0.1443583375,1,0
46,Lep.att,Lam.tan,persistence,NA,NA,NA,NA,NA,1.404299825,3.775,36.625,6.141441825,35.79620915,Fry_feeder,Unicellular_algae_feeder,-0.111067821,1.024745682,1.635746269,1.404299825,1.839534742,2.325313062,positive,Positive,0.9473684211,53.36339334,1.413190227,0,1
47,Lam.cal,Lam.tan,persistence,NA,NA,NA,NA,NA,-0.02834877437,11.55,36.625,10.65291582,35.79620915,Shrimp_feeder,Unicellular_algae_feeder,-0.6687071452,-0.2849783097,-0.1023347147,-0.02834877437,0.2042220872,0.8056548535,negative,Negative,0.5789473684,1.077253426,0.3115973372,1,0
48,Aul.dew,Neo.fas,persistence,NA,NA,NA,NA,NA,-0.2378304799,32.8,64.1,34.45636408,16.65763858,Detritus_feeder,Shrimp_feeder,-1.394824883,-0.4783842035,-0.06946282344,-0.2378304799,0.1274198405,0.3785788923,negative,Negative,0.5526315789,9.037558238,0.3874909851,1,0
49,Int.loo,Neo.fas,persistence,NA,NA,NA,NA,NA,0.193723581,19.7,64.1,15.82143953,16.65763858,Unicellular_algae_feeder,Shrimp_feeder,-0.4540681326,0.04746724822,0.2027781299,0.193723581,0.38010946,0.6187873169,positive,Positive,0.7631578947,7.361496078,0.2783492487,0,1
50,Jul.orn,Neo.fas,persistence,NA,NA,NA,NA,NA,0.400946556,23.275,64.1,16.49706656,16.65763858,Sponge_feeder,Shrimp_feeder,-0.7959017331,-0.1078127742,0.3487901776,0.400946556,0.9779769247,1.69425366,positive,Positive,0.6578947368,15.23596913,0.6220392423,0,1
51,Lam.cal,Neo.fas,persistence,NA,NA,NA,NA,NA,0.3458872073,11.55,64.1,10.65291582,16.65763858,Shrimp_feeder,Shrimp_feeder,-0.8838001237,0.1987473178,0.3352129386,0.3458872073,0.5838707053,1.192825287,positive,Positive,0.8684210526,13.14371388,0.4618559583,0,1
52,Oph.ven,Neo.fas,persistence,NA,NA,NA,NA,NA,0.028811424,77.95,64.1,37.39254691,16.65763858,Detritus_feeder,Shrimp_feeder,-0.5628547046,-0.1142502165,0.04361925462,0.028811424,0.2152443153,0.5234037904,positive,Positive,0.5789473684,1.094834112,0.209135702,0,1
53,Par.spp,Neo.fas,persistence,NA,NA,NA,NA,NA,0.09149204575,54.325,64.1,88.0132238,16.65763858,Zooplankton_feeder,Shrimp_feeder,-0.5429307313,-0.211097948,0.1291564286,0.09149204575,0.3930241398,0.6488657772,positive,Positive,0.6052631579,3.476697738,0.3080004001,0,1
54,Per.mic,Neo.fas,persistence,NA,NA,NA,NA,NA,0.2992506397,30.975,64.1,18.58105942,16.65763858,Scale_feeder,Shrimp_feeder,-0.3928431388,0.1171830459,0.264429157,0.2992506397,0.4696593843,0.9529221018,positive,Positive,0.9210526316,11.37152431,0.3258590247,0,1
55,Pet.tre,Neo.fas,persistence,NA,NA,NA,NA,NA,-0.2080240651,24.675,64.1,8.134722979,16.65763858,Unicellular_algae_feeder,Shrimp_feeder,-0.7708255427,-0.4232270739,-0.3308958094,-0.2080240651,0.02050036886,0.523185359,negative,Negative,0.7368421053,7.904914472,0.3771318282,1,0
56,Syn.mul,Neo.fas,persistence,NA,NA,NA,NA,NA,-0.3308658246,5.275,64.1,4.651922679,16.65763858,Microfilamentous_algae_feeder,Shrimp_feeder,-0.9026944979,-0.5576860726,-0.3900123617,-0.3308658246,-0.1416806412,0.3759782126,negative,Negative,0.8421052632,12.57290134,0.3974814527,1,0
57,Tro.moo,Neo.fas,persistence,NA,NA,NA,NA,NA,0.1958698514,72.425,64.1,25.72027784,16.65763858,Filamentous_algae_feeder,Shrimp_feeder,-0.4187331178,-0.02197375558,0.2704592546,0.1958698514,0.3975289759,0.6343386695,positive,Positive,0.7105263158,7.443054353,0.2951985826,0,1
58,Xen.pap,Neo.fas,persistence,NA,NA,NA,NA,NA,0.05745729211,5.575,64.1,3.29636552,16.65763858,Filamentous_algae_feeder,Shrimp_feeder,-0.6631879306,-0.1197883323,0.07553190646,0.05745729211,0.2718798189,0.5408322555,positive,Positive,0.6578947368,2.1833771,0.2419863843,0,1
59,Aul.dew,Neo.sex,persistence,NA,NA,NA,NA,NA,0.0426503158,32.8,3.825,34.45636408,4.012081115,Detritus_feeder,Zoobenthos_feeder,-0.3658887047,-0.09224930193,0.06281704616,0.0426503158,0.1551118125,0.593948237,positive,Positive,0.5789473684,1.620712,0.1533463535,0,1
60,Gna.pfe,Neo.sex,persistence,NA,NA,NA,NA,NA,0.02412600013,7.5,3.825,4.585372507,4.012081115,Shrimp_feeder,Zoobenthos_feeder,-0.6450066946,-0.04756761465,0.07881447847,0.02412600013,0.2045790556,0.4996881044,positive,Positive,0.6578947368,0.9167880048,0.2221323799,0,1
61,Jul.orn,Neo.sex,persistence,NA,NA,NA,NA,NA,0.07671057734,23.275,3.825,16.49706656,4.012081115,Sponge_feeder,Zoobenthos_feeder,-0.8683696136,0.00178156354,0.136395091,0.07671057734,0.2566512935,0.7614338284,positive,Positive,0.7631578947,2.915001939,0.2722113932,0,1
62,Per.mic,Neo.sex,persistence,NA,NA,NA,NA,NA,-0.4969594215,30.975,3.825,18.58105942,4.012081115,Scale_feeder,Zoobenthos_feeder,-1.359982025,-0.5951228525,-0.4240712375,-0.4969594215,-0.3062908904,-0.00952903575,negative,Negative,1,18.88445802,0.4969594215,1,0
63,Syn.mul,Neo.sex,persistence,NA,NA,NA,NA,NA,-0.2132755555,5.275,3.825,4.651922679,4.012081115,Microfilamentous_algae_feeder,Zoobenthos_feeder,-0.8723860102,-0.3263442843,-0.1655642568,-0.2132755555,-0.02607094,0.2255682728,negative,Negative,0.8157894737,8.10447111,0.2530766378,1,0
64,Tro.moo,Neo.sex,persistence,NA,NA,NA,NA,NA,0.2836662065,72.425,3.825,25.72027784,4.012081115,Filamentous_algae_feeder,Zoobenthos_feeder,-0.1465204862,0.1044869393,0.220493172,0.2836662065,0.4010918592,0.9267156049,positive,Positive,0.8947368421,10.77931585,0.2979446484,0,1
65,Tel.vit,Neo.sex,persistence,NA,NA,NA,NA,NA,-0.1654815567,159.55,3.825,47.19080202,4.012081115,Filamentous_algae_feeder,Zoobenthos_feeder,-0.9545236789,-0.4408960992,-0.1024466583,-0.1654815567,0.1119400671,0.555277882,negative,Negative,0.6315789474,6.288299153,0.3153214654,1,0
66,Var.moo,Neo.sex,persistence,NA,NA,NA,NA,NA,-0.2855362061,129.15,3.825,30.64063834,4.012081115,Microfilamentous_algae_feeder,Zoobenthos_feeder,-0.6865881726,-0.4202824765,-0.2947914515,-0.2855362061,-0.1368602109,0.04431201907,negative,Negative,0.9736842105,10.85037583,0.2878684176,1,0
67,Aul.dew,Oph.ven,persistence,NA,NA,NA,NA,NA,-0.1845139241,32.8,77.95,34.45636408,37.39254691,Detritus_feeder,Detritus_feeder,-0.4501113894,-0.2324819108,-0.166597794,-0.1845139241,-0.1159228598,0.004804249057,negative,Negative,0.9736842105,7.011529116,0.1847667793,1,0
68,Gna.pfe,Oph.ven,persistence,NA,NA,NA,NA,NA,0.3616496581,7.5,77.95,4.585372507,37.39254691,Shrimp_feeder,Detritus_feeder,0.1444343518,0.2325896142,0.3744104959,0.3616496581,0.461989242,0.6585468658,positive,Positive,1,13.74268701,0.3616496581,0,1
69,Int.loo,Oph.ven,persistence,NA,NA,NA,NA,NA,-0.3723879457,19.7,77.95,15.82143953,37.39254691,Unicellular_algae_feeder,Detritus_feeder,-0.7718608401,-0.4898788826,-0.3836690677,-0.3723879457,-0.2541127976,-0.1200479629,negative,Negative,1,14.15074194,0.3723879457,1,0
70,Jul.orn,Oph.ven,persistence,NA,NA,NA,NA,NA,0.01690626725,23.275,77.95,16.49706656,37.39254691,Sponge_feeder,Detritus_feeder,-0.4483824289,-0.2089440087,-0.04743717724,0.01690626725,0.208003681,0.7351734338,positive,Positive,0.5789473684,0.6424381556,0.2354569653,0,1
71,Lam.cal,Oph.ven,persistence,NA,NA,NA,NA,NA,0.07870330158,11.55,77.95,10.65291582,37.39254691,Shrimp_feeder,Detritus_feeder,-0.2750270958,-0.0920796778,0.04619075559,0.07870330158,0.2272218738,0.4344532866,positive,Positive,0.5526315789,2.99072546,0.1812089513,0,1
72,Neo.fas,Oph.ven,persistence,NA,NA,NA,NA,NA,-0.7053203931,64.1,77.95,16.65763858,37.39254691,Shrimp_feeder,Detritus_feeder,-1.074861613,-0.7760953526,-0.7061521934,-0.7053203931,-0.5955873816,-0.4208923411,negative,Negative,1,26.80217494,0.7053203931,1,0
73,Per.mic,Oph.ven,persistence,NA,0.05,NA,NA,NA,0.2632562001,30.975,77.95,18.58105942,37.39254691,Scale_feeder,Detritus_feeder,-0.000237214891,0.1831875127,0.2304838389,0.2632562001,0.3532572916,0.504906063,positive,Positive,0.9736842105,10.00373561,0.2632686851,0,1
74,Syn.mul,Oph.ven,persistence,NA,NA,NA,NA,NA,0.330646156,5.275,77.95,4.651922679,37.39254691,Microfilamentous_algae_feeder,Detritus_feeder,0.1627092625,0.2627206776,0.3063770931,0.330646156,0.3871898827,0.5500716955,positive,Positive,1,12.56455393,0.330646156,0,1
75,Tro.moo,Oph.ven,persistence,NA,NA,NA,NA,NA,-0.5704596137,72.425,77.95,25.72027784,37.39254691,Filamentous_algae_feeder,Detritus_feeder,-0.9215131961,-0.6513778317,-0.5735047548,-0.5704596137,-0.4568891532,-0.3020214005,negative,Negative,1,21.67746532,0.5704596137,1,0
76,Xen.pap,Oph.ven,persistence,NA,NA,NA,NA,NA,0.01690613096,5.575,77.95,3.29636552,37.39254691,Filamentous_algae_feeder,Detritus_feeder,-0.2186860096,-0.03883623504,-0.004396510462,0.01690613096,0.08627564538,0.2509402765,positive,Positive,0.5526315789,0.6424329764,0.07509256463,0,1
77,Jul.orn,Par.spp,persistence,NA,NA,NA,NA,NA,-0.3731186263,23.275,54.325,16.49706656,88.0132238,Sponge_feeder,Zooplankton_feeder,-1.091629011,-0.5900617355,-0.288890451,-0.3731186263,-0.1539024958,0.2150898571,negative,Negative,0.9210526316,14.1785078,0.3932101905,1,0
78,Lam.lem,Par.spp,persistence,NA,NA,NA,NA,NA,0.04492186406,3.125,54.325,2.311481931,88.0132238,Fish_feeder,Zooplankton_feeder,-1.027648829,-0.1537165656,0.07737827139,0.04492186406,0.2391423686,0.663265106,positive,Positive,0.5789473684,1.707030834,0.2659130634,0,1
79,Aul.dew,Per.mic,persistence,NA,NA,NA,NA,NA,-0.1439689771,32.8,30.975,34.45636408,18.58105942,Detritus_feeder,Scale_feeder,-0.3448424916,-0.2203101521,-0.1717046593,-0.1439689771,-0.09181318236,0.2343857699,negative,Negative,0.8421052632,5.470821129,0.176547309,1,0
80,Gna.pfe,Per.mic,persistence,0.05,NA,NA,NA,NA,0.1397685296,7.5,30.975,4.585372507,18.58105942,Shrimp_feeder,Scale_feeder,-0.1901283933,0.06134548503,0.1478183769,0.1397685296,0.236278744,0.544581347,positive,Positive,0.8421052632,5.311204124,0.1681389405,0,1
81,Jul.orn,Per.mic,persistence,NA,NA,NA,NA,NA,-0.211683243,23.275,30.975,16.49706656,18.58105942,Sponge_feeder,Scale_feeder,-0.4822225996,-0.2628843715,-0.2171646221,-0.211683243,-0.1417570588,0.00614466781,negative,Negative,0.9736842105,8.043963236,0.2120066466,1,0
82,Lam.cal,Per.mic,persistence,NA,NA,NA,NA,NA,-0.3788703428,11.55,30.975,10.65291582,18.58105942,Shrimp_feeder,Scale_feeder,-1.156325363,-0.4961629793,-0.3853015208,-0.3788703428,-0.2400187916,0.09554567293,negative,Negative,0.9473684211,14.39707303,0.3854035445,1,0
83,Lam.tan,Per.mic,persistence,NA,NA,NA,NA,NA,0.08725340847,36.625,30.975,35.79620915,18.58105942,Unicellular_algae_feeder,Scale_feeder,-0.2417412021,0.01411685807,0.1031785192,0.08725340847,0.1802658458,0.3611244589,positive,Positive,0.7631578947,3.315629522,0.1286286595,0,1
84,Neo.fas,Per.mic,persistence,NA,NA,NA,NA,NA,0.1670425551,64.1,30.975,16.65763858,18.58105942,Shrimp_feeder,Scale_feeder,-0.3373783404,-0.02110584341,0.143305485,0.1670425551,0.3627025667,0.7364338984,positive,Positive,0.6842105263,6.347617093,0.2239193223,0,1
85,Oph.ven,Per.mic,persistence,NA,NA,NA,NA,NA,0.2590946296,77.95,30.975,37.39254691,18.58105942,Detritus_feeder,Scale_feeder,-0.06809644439,0.1986442249,0.2614017276,0.2590946296,0.3083530568,0.4706029051,positive,Positive,0.9736842105,9.845595923,0.2626786529,0,1
86,Tro.moo,Per.mic,persistence,NA,NA,NA,NA,NA,0.08883863203,72.425,30.975,25.72027784,18.58105942,Filamentous_algae_feeder,Scale_feeder,-0.194285967,0.005307326552,0.08035128895,0.08883863203,0.1804792146,0.3392621967,positive,Positive,0.7631578947,3.375868017,0.1213355694,0,1
87,Var.moo,Per.mic,persistence,NA,NA,NA,NA,NA,-0.5463604696,129.15,30.975,30.64063834,18.58105942,Microfilamentous_algae_feeder,Scale_feeder,-0.9214700611,-0.7071916927,-0.5161726666,-0.5463604696,-0.4109065912,-0.132835254,negative,Negative,1,20.76169785,0.5463604696,1,0
