"","cause","effect"
"97","Paracyprichromisspp","Paracyprichromisspp"
"98","Paracyprichromisspp","T_moorii"
"99","P_microlepis","A_compressiceps"
"100","P_microlepis","A_dewindti"
"101","P_microlepis","J_ornatus"
"102","P_microlepis","N_fasciatus"
"103","P_microlepis","N_sexfasciatus"
"104","P_microlepis","O_ventralis"
"105","P_microlepis","P_microlepis"
"106","P_microlepis","P_trewavasae"
"107","P_microlepis","T_moorii"
"108","P_polyodon","I_loocki"
"109","P_polyodon","J_ornatus"
"110","P_polyodon","P_polyodon"
"111","P_trewavasae","A_dewindti"
"112","P_trewavasae","L_attenuatus"
"113","P_trewavasae","O_ventralis"
"114","P_trewavasae","P_trewavasae"
"115","P_trewavasae","T_moorii"
"116","S_multipunctatus","N_fasciatus"
"117","S_multipunctatus","N_sexfasciatus"
"118","S_multipunctatus","S_multipunctatus"
"119","S_multipunctatus","T_vittatus"
"120","T_moorii","A_dewindti"
"121","T_moorii","I_loocki"
"122","T_moorii","L_elongatus"
"123","T_moorii","N_fasciatus"
"124","T_moorii","N_sexfasciatus"
"125","T_moorii","T_moorii"
"126","T_moorii","V_moorii"
"127","T_moorii","X_papilio"
"128","T_temporalis","L_callipterus"
"129","T_temporalis","T_temporalis"
"130","T_vittatus","I_loocki"
"131","T_vittatus","N_sexfasciatus"
"132","T_vittatus","P_polyodon"
"133","T_vittatus","S_multipunctatus"
"134","T_vittatus","T_moorii"
"135","T_vittatus","T_vittatus"
"136","T_vittatus","X_papilio"
"137","V_moorii","A_dewindti"
"138","V_moorii","L_elongatus"
"139","V_moorii","N_sexfasciatus"
"140","V_moorii","O_ventralis"
"141","V_moorii","P_microlepis"
"142","V_moorii","P_polyodon"
"143","V_moorii","V_moorii"
"144","V_moorii","X_papilio"
"145","X_papilio","A_dewindti"
"146","X_papilio","J_ornatus"
"147","X_papilio","L_elongatus"
"148","X_papilio","P_microlepis"
"149","X_papilio","S_multipunctatus"
"150","X_papilio","T_moorii"
"151","X_papilio","X_papilio"
